"Period",Clothing,Footwear,Fashion and accessories
"Period",Total,Total,Total
"2017.01",864515,103798,143439
"2017.02",827672,118631,146885
"2017.03",1042742,153293,165677
"2017.04",972647,151628,165183
"2017.05",978235,160562,168702
"2017.06",909742,156160,162825
"2017.07",887371,140746,170035
"2017.08",758225,118311,178204
"2017.09",959679,140246,170345
"2017.10",1034705,140365,161449
"2017.11",1443945,175549,189580
"2017.12",1195890,154928,206100
"2018.01",964236,131568,195299
"2018.02",825152,124447,178379
"2018.03",1163132,169117,210147
"2018.04",1078268,169439,196288
"2018.05",1101406,172582,198073
"2018.06",1017864,164251,189401
"2018.07",992332,157952,209945
"2018.08",828362,125953,194350
"2018.09",1003952,139473,169357
"2018.10",1350908,164235,182647
"2018.11",1482193,188387,192160
"2018.12",1390544,179236,220802
"2019.01",1107321,159646,191270
"2019.02",959743,156431,185262
"2019.03",1238235,206810,211277
"2019.04",1204083,204171,213521
"2019.05",1278281,217438,233789
"2019.06",1133621,211418,215417
"2019.07",1139671,205065,231955
"2019.08",912495,162540,212401
"2019.09",1187128,201008,212056
"2019.10",1413279,212645,206328
"2019.11",1710042,251485,216318
"2019.12",1462342,231875,242365
"2020.01",1055242,182390,228618
"2020.02",986168,189891,215694
"2020.03",1160673,227319,222295
"2020.04",1159378,235172,202474
"2020.05",1289693,271157,228931
"2020.06",1293204,278675,234539
"2020.07",1100533,244370,246560
"2020.08",934468,198913,220971
"2020.09",1181607,218111,207302
"2020.10",1632239,260178,213669
"2020.11",1772274,312872,237435
"2020.12",1532437,271389,285067
"2021.01",1124884,206175,241517
"2021.02",1032236,224225,222517
"2021.03",1494215,314281,266732
"2021.04",1438327,284306,268753
"2021.05",1404875,317546,283261
"2021.06",1416603,322636,268901
"2021.07",1298145,273041,281122
"2021.08",1077244,235759,261076
"2021.09",1365211,254781,260561
"2021.10",1829699,301715,286796
"2021.11",1996617,340226,304898
"2021.12",1895889,341852,373651
"2022.01",1393530,263344,317812
"2022.02",1250015,254386,292998
"2022.03",1671285,327221,301229
"2022.04",1768628,340067,297406
"2022.05",1748502,369202,323253
"2022.06",1639398,338527,315649
"2022.07",1520069,306407,318959
"2022.08",1320197,295945,307539
"2022.09",1611461,297514,292988
"2022.10",2012768,328694,293429
"2022.11",2087792,377096,324073
"2022.12",2053313,374567,414493
"2023.01",1485952,278985,316390
"2023.02",1491451,308003,293703
"2023.03",1955829,371195,330225
"2023.04",1807688,344515,318319
"2023.05",1915142,374791,342980
"2023.06",1733416,337147,317978
"2023.07",1639509,333004,335902
"2023.08",1398210,270805,324621
"2023.09",1606402,276470,295736
"2023.10",2163838,362366,302387
"2023.11",2443089,381191,342913
"2023.12",2068162,331595,392863
"2024.01",1569207,252370,320446
"2024.02",1584784,302707,289619
"2024.03",1897664,325132,340047
"2024.04",1946970,335885,341279
"2024.05",1850264,360707,355848
"2024.06",1793015,313914,332937
"2024.07",1660597,315956,357986
"2024.08",1372080,272743,311349
"2024.09",1496773,273113,307413
"2024.10",2100899,308040,326472
"2024.11",2450946,391615,343849
"2024.12 p)",2266839,341205,410075
"2025.01 p)",1537695,226079,326167
